timestamp,open,high,low,close,volume
2025-02-26 03:00:00,2.31940000,2.33140000,2.30890000,2.31150000,8247375.00000000
2025-02-26 04:00:00,2.31160000,2.32880000,2.29800000,2.29970000,5644616.00000000
2025-02-26 05:00:00,2.29980000,2.30600000,2.27740000,2.27910000,8059673.00000000
2025-02-26 06:00:00,2.27900000,2.30450000,2.27720000,2.30190000,7527392.00000000
2025-02-26 07:00:00,2.30190000,2.30760000,2.26790000,2.28720000,7852375.00000000
2025-02-26 08:00:00,2.28720000,2.29580000,2.26440000,2.29150000,9263015.00000000
2025-02-26 09:00:00,2.29150000,2.32260000,2.28760000,2.32070000,10668377.00000000
2025-02-26 10:00:00,2.32060000,2.32120000,2.29650000,2.31380000,12195607.00000000
2025-02-26 11:00:00,2.31390000,2.31810000,2.27670000,2.28020000,9388186.00000000
2025-02-26 12:00:00,2.28030000,2.28450000,2.23460000,2.24560000,15627425.00000000
2025-02-26 13:00:00,2.24550000,2.25170000,2.22390000,2.22770000,18354474.00000000
2025-02-26 14:00:00,2.22770000,2.26480000,2.19480000,2.25940000,36166933.00000000
2025-02-26 15:00:00,2.25940000,2.30400000,2.25850000,2.27490000,22666660.00000000
2025-02-26 16:00:00,2.27500000,2.28280000,2.22910000,2.25760000,17087341.00000000
2025-02-26 17:00:00,2.25760000,2.26950000,2.20220000,2.21360000,15595826.00000000
2025-02-26 18:00:00,2.21350000,2.22720000,2.15070000,2.16690000,38475234.00000000
2025-02-26 19:00:00,2.16690000,2.19980000,2.15920000,2.18000000,21970540.00000000
2025-02-26 20:00:00,2.18010000,2.22730000,2.15420000,2.21700000,23541955.00000000
2025-02-26 21:00:00,2.21690000,2.22960000,2.17970000,2.21340000,15320972.00000000
2025-02-26 22:00:00,2.21350000,2.24720000,2.20290000,2.21470000,13293192.00000000
2025-02-26 23:00:00,2.21450000,2.22760000,2.18670000,2.19820000,8188557.00000000
2025-02-27 00:00:00,2.19830000,2.21140000,2.16480000,2.18300000,14445524.00000000
2025-02-27 01:00:00,2.18300000,2.21580000,2.16000000,2.19700000,12580812.00000000
2025-02-27 02:00:00,2.19710000,2.21870000,2.17220000,2.18130000,9742618.00000000
2025-02-27 03:00:00,2.18120000,2.20910000,2.17370000,2.20250000,8636203.00000000
2025-02-27 04:00:00,2.20260000,2.21360000,2.17170000,2.18450000,6200667.00000000
2025-02-27 05:00:00,2.18450000,2.21940000,2.18290000,2.21650000,8271666.00000000
2025-02-27 06:00:00,2.21640000,2.23950000,2.20200000,2.22480000,9906343.00000000
2025-02-27 07:00:00,2.22480000,2.23940000,2.21970000,2.22290000,8835821.00000000
2025-02-27 08:00:00,2.22290000,2.22570000,2.20180000,2.20890000,9860065.00000000
