fecha_entrada,precio_entrada,rsi_entrada,fecha_salida,precio_salida,motivo_salida,resultado_pct,resultado_usd
2025-10-29 06:00:00,113284.2,28.83,2025-10-30 04:00:00,108575.27,STOP LOSS -5%,-4.16,-2.77
2025-11-03 14:00:00,108059.99,29.51,2025-11-04 05:00:00,104215.76,STOP LOSS -5%,-3.56,-2.37
2025-11-13 03:00:00,102130.21,25.07,2025-11-13 18:00:00,98591.78,STOP LOSS -5%,-3.46,-2.31
2025-11-13 22:00:00,99851.82,29.24,2025-11-14 09:00:00,96839.93,STOP LOSS -5%,-3.02,-2.01
2025-11-17 22:00:00,92247.63,25.55,2025-11-19 18:00:00,89237.83,STOP LOSS -5%,-3.26,-2.18
2025-12-01 06:00:00,86234.16,9.48,2025-12-02 15:00:00,90850.01,OBJETIVO +7%,5.35,3.57
2025-12-05 23:00:00,89330.04,33.13,2025-12-09 16:00:00,94187.81,OBJETIVO +7%,5.44,3.63
2025-12-11 10:00:00,90320.15,22.12,2025-12-15 15:00:00,87033.22,STOP LOSS -5%,-3.64,-2.43
2025-12-15 23:00:00,86432.08,19.76,2025-12-22 23:00:00,88620.79,TIME STOP 7 DIAS,2.53,1.69
2025-12-23 10:00:00,87615.93,34.88,2025-12-30 10:00:00,87949.51,TIME STOP 7 DIAS,0.38,0.25
2026-01-07 22:00:00,91180.85,26.04,2026-01-13 22:00:00,95757.21,OBJETIVO +7%,5.02,3.35
2026-01-19 07:00:00,92841.62,20.03,2026-01-20 17:00:00,89775.46,STOP LOSS -5%,-3.3,-2.2
2026-01-21 03:00:00,89432.33,32.29,2026-01-25 19:00:00,86495.16,STOP LOSS -5%,-3.28,-2.19
2026-01-26 00:00:00,86854.86,24.16,2026-01-29 18:00:00,83477.02,STOP LOSS -5%,-3.89,-2.59
2026-01-29 21:00:00,84526.57,23.63,2026-01-31 14:00:00,81479.99,STOP LOSS -5%,-3.6,-2.4
2026-01-31 21:00:00,78292.0,9.72,2026-02-02 04:00:00,75894.15,STOP LOSS -5%,-3.06,-2.04
2026-02-05 09:00:00,71550.0,28.97,2026-02-05 15:00:00,67489.07,STOP LOSS -5%,-5.68,-3.78
2026-02-06 01:00:00,65714.96,33.32,2026-02-06 16:00:00,69954.01,OBJETIVO +7%,6.45,4.3
2026-02-09 12:00:00,69147.01,31.02,2026-02-11 06:00:00,66820.32,STOP LOSS -5%,-3.36,-2.24
2026-02-11 13:00:00,67454.49,34.16,2026-02-12 17:00:00,65413.99,STOP LOSS -5%,-3.03,-2.02
2026-02-15 21:00:00,68852.01,22.58,2026-02-18 18:00:00,66359.99,STOP LOSS -5%,-3.62,-2.41
2026-02-23 06:00:00,65757.32,32.64,2026-02-24 03:00:00,63595.51,STOP LOSS -5%,-3.29,-2.19
2026-02-24 08:00:00,63392.15,31.13,2026-02-25 14:00:00,66973.2,OBJETIVO +7%,5.65,3.77
