fecha_entrada,precio_entrada,rsi_entrada,fecha_salida,precio_salida,motivo_salida,resultado_pct,resultado_usd
2025-02-28 13:00:00,81512.42,32.11,2025-03-01 04:00:00,86190.01,OBJETIVO +7%,5.74,3.83
2025-03-06 20:00:00,89045.44,31.61,2025-03-07 00:00:00,85529.22,STOP LOSS -5%,-3.95,-2.63
2025-03-10 00:00:00,81292.0,26.31,2025-03-10 17:00:00,78459.91,STOP LOSS -5%,-3.48,-2.32
2025-03-13 21:00:00,80819.99,31.87,2025-03-19 18:00:00,85612.25,OBJETIVO +7%,5.93,3.95
2025-03-28 21:00:00,84052.29,28.82,2025-03-31 03:00:00,81530.0,STOP LOSS -5%,-3.0,-2.0
2025-04-05 17:00:00,82869.53,34.59,2025-04-06 18:00:00,79107.3,STOP LOSS -5%,-4.54,-3.03
2025-04-07 08:00:00,76266.89,34.72,2025-04-08 01:00:00,80599.99,OBJETIVO +7%,5.68,3.79
2025-04-10 20:00:00,79931.55,33.7,2025-04-11 17:00:00,83930.0,OBJETIVO +7%,5.0,3.34
2025-04-15 21:00:00,84178.0,23.5,2025-04-22 01:00:00,88400.01,OBJETIVO +7%,5.02,3.34
2025-04-24 12:00:00,92777.27,32.78,2025-05-01 12:00:00,96373.2,TIME STOP 7 DIAS,3.88,2.58
2025-05-04 12:00:00,95462.24,31.94,2025-05-08 15:00:00,100758.08,OBJETIVO +7%,5.55,3.7
2025-06-06 00:00:00,101900.77,32.49,2025-06-09 10:00:00,107179.7,OBJETIVO +7%,5.18,3.45
2025-06-12 14:00:00,107612.69,32.0,2025-06-13 00:00:00,103797.81,STOP LOSS -5%,-3.55,-2.36
2025-06-17 18:00:00,104414.84,17.48,2025-06-22 13:00:00,100865.66,STOP LOSS -5%,-3.4,-2.27
2025-07-01 16:00:00,106082.56,34.06,2025-07-08 16:00:00,108439.37,TIME STOP 7 DIAS,2.22,1.48
2025-07-15 10:00:00,117016.48,13.68,2025-07-22 10:00:00,118955.99,TIME STOP 7 DIAS,1.66,1.11
2025-07-28 19:00:00,118068.73,26.82,2025-08-01 13:00:00,114352.05,STOP LOSS -5%,-3.15,-2.1
2025-08-14 18:00:00,118089.75,10.1,2025-08-19 14:00:00,113882.66,STOP LOSS -5%,-3.56,-2.38
2025-08-19 20:00:00,113570.44,31.69,2025-08-25 20:00:00,109561.96,STOP LOSS -5%,-3.53,-2.35
2025-08-29 10:00:00,110008.01,29.19,2025-09-05 10:00:00,112256.36,TIME STOP 7 DIAS,2.04,1.36
2025-09-19 22:00:00,115613.21,28.45,2025-09-22 19:00:00,112122.9,STOP LOSS -5%,-3.02,-2.01
2025-10-07 09:00:00,124117.48,29.52,2025-10-09 16:00:00,119819.77,STOP LOSS -5%,-3.46,-2.31
2025-10-14 14:00:00,111435.21,22.15,2025-10-16 20:00:00,107838.01,STOP LOSS -5%,-3.23,-2.15
2025-10-17 00:00:00,108800.0,33.8,2025-10-17 08:00:00,104884.38,STOP LOSS -5%,-3.6,-2.4
2025-10-17 11:00:00,105683.72,32.35,2025-10-20 05:00:00,111033.79,OBJETIVO +7%,5.06,3.38
2025-10-21 10:00:00,108499.56,27.5,2025-10-26 22:00:00,114681.33,OBJETIVO +7%,5.7,3.8
