timestamp,symbol,estado,ratio,intensidad
2026-04-17 07:35:57,ETHUSDT,FLUJO_NORMAL,0.57,BAJA
2026-04-17 07:35:57,SOLUSDT,FLUJO_NORMAL,1.36,BAJA
2026-04-17 07:35:57,BNBUSDT,FLUJO_NORMAL,1.23,BAJA
2026-04-17 07:35:57,AVAXUSDT,FLUJO_NORMAL,0.42,BAJA
2026-04-17 07:37:00,BTCUSDT,FLUJO_NORMAL,0.44,BAJA
2026-04-17 07:37:00,ETHUSDT,FLUJO_NORMAL,1.69,BAJA
2026-04-17 07:37:00,SOLUSDT,FLUJO_NORMAL,0.5,BAJA
2026-04-17 07:37:00,BNBUSDT,FLUJO_NORMAL,1.37,BAJA
2026-04-17 07:37:00,AVAXUSDT,FLUJO_NORMAL,0.76,BAJA
2026-04-17 07:38:03,BTCUSDT,FLUJO_NORMAL,0.42,BAJA
2026-04-17 07:38:03,ETHUSDT,INYECCION_GAS,2.39,MEDIA
2026-04-17 07:38:03,SOLUSDT,FLUJO_NORMAL,0.71,BAJA
2026-04-17 07:38:03,BNBUSDT,FLUJO_NORMAL,0.97,BAJA
2026-04-17 07:38:03,AVAXUSDT,FLUJO_NORMAL,0.1,BAJA
2026-04-17 07:39:06,BTCUSDT,FLUJO_NORMAL,0.56,BAJA
2026-04-17 07:39:06,ETHUSDT,FLUJO_NORMAL,0.44,BAJA
2026-04-17 07:39:06,SOLUSDT,FLUJO_NORMAL,0.55,BAJA
2026-04-17 07:39:06,BNBUSDT,FLUJO_NORMAL,1.09,BAJA
2026-04-17 07:39:06,AVAXUSDT,FLUJO_NORMAL,0.52,BAJA
2026-04-17 07:40:09,BTCUSDT,FLUJO_NORMAL,0.23,BAJA
2026-04-17 07:40:09,ETHUSDT,FLUJO_NORMAL,0.43,BAJA
2026-04-17 07:40:09,SOLUSDT,FLUJO_NORMAL,0.35,BAJA
2026-04-17 07:40:09,BNBUSDT,FLUJO_NORMAL,0.43,BAJA
2026-04-17 07:40:09,AVAXUSDT,FLUJO_NORMAL,1.02,BAJA
2026-04-17 07:41:11,BTCUSDT,FLUJO_NORMAL,0.57,BAJA
2026-04-17 07:41:11,ETHUSDT,FLUJO_NORMAL,0.53,BAJA
2026-04-17 07:41:11,SOLUSDT,FLUJO_NORMAL,0.23,BAJA
2026-04-17 07:41:11,BNBUSDT,FLUJO_NORMAL,1.01,BAJA
2026-04-17 07:41:11,AVAXUSDT,FLUJO_NORMAL,0.59,BAJA
2026-04-17 07:42:15,BTCUSDT,FLUJO_NORMAL,0.31,BAJA
2026-04-17 07:42:15,ETHUSDT,FLUJO_NORMAL,0.63,BAJA
2026-04-17 07:42:15,SOLUSDT,FLUJO_NORMAL,0.48,BAJA
2026-04-17 07:42:15,BNBUSDT,INYECCION_GAS,7.35,ALTA
2026-04-17 07:42:15,AVAXUSDT,FLUJO_NORMAL,0.09,BAJA
2026-04-17 07:43:17,BTCUSDT,FLUJO_NORMAL,0.89,BAJA
2026-04-17 07:43:17,ETHUSDT,FLUJO_NORMAL,0.34,BAJA
2026-04-17 07:43:17,SOLUSDT,FLUJO_NORMAL,0.56,BAJA
2026-04-17 07:43:17,BNBUSDT,FLUJO_NORMAL,0.42,BAJA
2026-04-17 07:43:17,AVAXUSDT,FLUJO_NORMAL,0.71,BAJA
2026-04-17 07:44:22,BTCUSDT,FLUJO_NORMAL,1.38,BAJA
2026-04-17 07:44:22,ETHUSDT,FLUJO_NORMAL,0.37,BAJA
