2026-04-16 16:14:30,LINKUSDT,9.63,36300612.4133
2026-04-16 16:14:30,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:14:30,SOLUSDT,90.1,321851647.26782
2026-04-16 16:14:30,DOTUSDT,1.348,24515963.34288
2026-04-16 16:14:30,NEARUSDT,1.436,22801866.7271
2026-04-16 16:14:30,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:15:31,LINKUSDT,9.63,36298733.9484
2026-04-16 16:15:31,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:15:31,SOLUSDT,90.13,321816156.65996
2026-04-16 16:15:31,DOTUSDT,1.348,24517139.03335
2026-04-16 16:15:31,NEARUSDT,1.433,22813086.6305
2026-04-16 16:15:31,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:16:34,LINKUSDT,9.62,36333737.9575
2026-04-16 16:16:34,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:16:34,SOLUSDT,90.21,321562654.48534
2026-04-16 16:16:34,DOTUSDT,1.346,24522056.75181
2026-04-16 16:16:34,NEARUSDT,1.431,22822408.4953
2026-04-16 16:16:34,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:17:35,LINKUSDT,9.63,36329015.757
2026-04-16 16:17:35,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:17:35,SOLUSDT,90.24,321421686.39641
2026-04-16 16:17:35,DOTUSDT,1.344,24524611.05888
2026-04-16 16:17:35,NEARUSDT,1.432,22808280.4195
2026-04-16 16:17:35,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:18:38,LINKUSDT,9.62,36329756.9633
2026-04-16 16:18:38,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:18:38,SOLUSDT,90.03,320928593.60313
2026-04-16 16:18:38,DOTUSDT,1.345,24566108.18945
2026-04-16 16:18:38,NEARUSDT,1.43,22796137.3645
2026-04-16 16:18:38,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:19:40,LINKUSDT,9.6,36335758.0679
2026-04-16 16:19:40,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:19:40,SOLUSDT,89.88,320785013.62878
2026-04-16 16:19:40,DOTUSDT,1.343,24565161.89428
2026-04-16 16:19:40,NEARUSDT,1.429,22784537.3656
2026-04-16 16:19:40,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:20:43,LINKUSDT,9.57,36403576.8882
2026-04-16 16:20:43,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:20:43,SOLUSDT,89.63,321370323.48267
2026-04-16 16:20:43,DOTUSDT,1.336,24589142.53774
2026-04-16 16:20:43,NEARUSDT,1.424,22795324.5701
2026-04-16 16:20:43,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:21:44,LINKUSDT,9.55,36366915.2771
2026-04-16 16:21:44,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:21:44,SOLUSDT,89.6,321994699.89338
2026-04-16 16:21:44,DOTUSDT,1.335,24599907.79843
2026-04-16 16:21:44,NEARUSDT,1.425,22861935.9999
2026-04-16 16:21:44,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:22:46,LINKUSDT,9.57,36371192.1481
2026-04-16 16:22:46,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:22:46,SOLUSDT,89.65,322291068.79847
2026-04-16 16:22:46,DOTUSDT,1.339,24613436.87721
2026-04-16 16:22:46,NEARUSDT,1.427,22875018.5149
2026-04-16 16:22:46,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:23:48,LINKUSDT,9.57,36343830.0101
2026-04-16 16:23:48,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:23:48,SOLUSDT,89.73,322421207.31449
2026-04-16 16:23:48,DOTUSDT,1.338,24613068.87751
2026-04-16 16:23:48,NEARUSDT,1.428,22873606.3919
2026-04-16 16:23:48,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:24:50,LINKUSDT,9.57,36355053.6867
2026-04-16 16:24:50,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:24:50,SOLUSDT,89.65,322480170.14614
2026-04-16 16:24:50,DOTUSDT,1.339,24598918.74375
2026-04-16 16:24:50,NEARUSDT,1.427,22859289.553
2026-04-16 16:24:50,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:25:52,LINKUSDT,9.56,36357319.9044
2026-04-16 16:25:52,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:25:52,SOLUSDT,89.67,322727261.76708
2026-04-16 16:25:52,DOTUSDT,1.339,24607372.50204
2026-04-16 16:25:52,NEARUSDT,1.427,22869349.1174
2026-04-16 16:25:52,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:26:54,LINKUSDT,9.56,36358784.8027
2026-04-16 16:26:54,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:26:54,SOLUSDT,89.73,322890574.30734
2026-04-16 16:26:54,DOTUSDT,1.34,24634168.39512
2026-04-16 16:26:54,NEARUSDT,1.426,22873271.1024
2026-04-16 16:26:54,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:27:55,LINKUSDT,9.57,36360411.0822
2026-04-16 16:27:55,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:27:55,SOLUSDT,89.81,322941677.72008
2026-04-16 16:27:55,DOTUSDT,1.34,24625874.90497
2026-04-16 16:27:55,NEARUSDT,1.426,22875989.5542
2026-04-16 16:27:55,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:28:57,LINKUSDT,9.57,36359459.4519
2026-04-16 16:28:57,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:28:57,SOLUSDT,89.86,322858600.27608
2026-04-16 16:28:57,DOTUSDT,1.339,24633633.847
2026-04-16 16:28:57,NEARUSDT,1.428,22878851.9929
2026-04-16 16:28:57,RNDRUSDT,7.03,1634692.1774
2026-04-16 16:29:59,LINKUSDT,9.57,36376930.8585
2026-04-16 16:29:59,MATICUSDT,0.3794,1074370.70255
2026-04-16 16:29:59,SOLUSDT,89.87,322983721.08342
