timestamp,symbol,obi,interpretacion
2026-04-17 00:19:30,BNBUSDT,OBI:0.2308,COMPRA
2026-04-17 00:24:30,BTCUSDT,OBI:-0.0787,NEUTRAL
2026-04-17 00:24:31,ETHUSDT,OBI:-0.3948,FUERTEMENTE_VENTA
2026-04-17 00:24:31,SOLUSDT,OBI:-0.0137,NEUTRAL
2026-04-17 00:24:31,BNBUSDT,OBI:-0.163,VENTA
2026-04-17 00:29:31,BTCUSDT,OBI:0.2972,COMPRA
2026-04-17 00:29:32,ETHUSDT,OBI:0.7064,FUERTEMENTE_COMPRA
2026-04-17 00:29:32,SOLUSDT,OBI:0.0582,NEUTRAL
2026-04-17 00:29:33,BNBUSDT,OBI:-0.3399,FUERTEMENTE_VENTA
2026-04-17 00:34:33,BTCUSDT,OBI:-0.6808,FUERTEMENTE_VENTA
2026-04-17 00:34:33,ETHUSDT,OBI:-0.9041,FUERTEMENTE_VENTA
2026-04-17 00:34:34,SOLUSDT,OBI:-0.0267,NEUTRAL
2026-04-17 00:34:34,BNBUSDT,OBI:-0.7475,FUERTEMENTE_VENTA
2026-04-17 00:39:34,BTCUSDT,OBI:0.9795,FUERTEMENTE_COMPRA
2026-04-17 00:39:34,ETHUSDT,OBI:0.9825,FUERTEMENTE_COMPRA
2026-04-17 00:39:35,SOLUSDT,OBI:0.038,NEUTRAL
2026-04-17 00:39:35,BNBUSDT,OBI:0.1551,COMPRA
2026-04-17 00:44:35,BTCUSDT,OBI:0.5154,FUERTEMENTE_COMPRA
2026-04-17 00:44:36,ETHUSDT,OBI:-0.51,FUERTEMENTE_VENTA
2026-04-17 00:44:36,SOLUSDT,OBI:0.0164,NEUTRAL
2026-04-17 00:44:36,BNBUSDT,OBI:0.1595,COMPRA
2026-04-17 00:49:36,BTCUSDT,OBI:-0.3391,FUERTEMENTE_VENTA
2026-04-17 00:49:37,ETHUSDT,OBI:-0.303,FUERTEMENTE_VENTA
2026-04-17 00:49:38,SOLUSDT,OBI:-0.3025,FUERTEMENTE_VENTA
2026-04-17 00:49:38,BNBUSDT,OBI:-0.4,FUERTEMENTE_VENTA
