close,ema_50,ema_200,rsi
67014.91,76740.45,72837.18,50.55
66916.52,76740.45,72837.18,50.55
66377.03,76740.45,72837.18,50.55
66912.0,76740.45,72837.18,50.55
66671.0,76740.45,72837.18,50.55
66816.28,76740.45,72837.18,50.55
66523.0,76740.45,72837.18,50.55
66348.62,76740.45,72837.18,50.55
66010.93,76740.45,72837.18,50.55
67173.8,76740.45,72837.18,50.55
67624.39,76740.45,72837.18,50.55
67680.45,76740.45,72837.18,50.55
67629.4,76740.45,72837.18,50.55
66550.05,76740.45,72837.18,50.55
66797.37,76740.45,72837.18,50.55
67704.74,76740.45,72837.18,50.55
67367.69,76740.45,72837.18,50.55
66685.69,76740.45,72837.18,50.55
66736.8,76740.45,72837.18,50.55
67838.8,76740.45,72837.18,50.55
68284.48,76740.45,72837.18,50.55
68170.67,76740.45,72837.18,50.55
68692.0,76740.45,72837.18,50.55
68712.52,76740.45,72837.18,50.55
68918.52,76740.45,72837.18,50.55
68176.84,76740.45,72837.18,50.55
68113.92,76740.45,72837.18,50.55
66576.25,76740.45,72837.18,50.55
66930.79,76740.45,72837.18,50.55
66220.28,76740.45,72837.18,50.55
66852.91,76740.45,72837.18,50.55
66975.99,76740.45,72837.18,50.55
66901.99,76740.45,72837.18,50.55
66579.97,76740.45,72837.18,50.55
67042.08,76740.45,72837.18,50.55
67017.44,76740.45,72837.18,50.55
66827.15,76740.45,72837.18,50.55
66885.74,76740.45,72837.18,50.55
66964.3,76740.45,72837.18,50.55
66832.18,76740.45,72837.18,50.55
67014.96,76740.45,72837.18,50.55
67156.93,76740.45,72837.18,50.55
67383.66,76740.45,72837.18,50.55
67288.42,76740.45,72837.18,50.55
67300.42,76740.45,72837.18,50.55
67145.98,76740.45,72837.18,50.55
66820.64,76740.45,72837.18,50.55
66999.0,76740.45,72837.18,50.55
67306.64,76740.45,72837.18,50.55
67361.01,76740.45,72837.18,50.55
69034.18,76740.45,72837.18,50.55
69123.69,76740.45,72837.18,50.55
69115.91,76740.45,72837.18,50.55
69614.91,76740.45,72837.18,50.55
69968.87,76740.45,72837.18,50.55
69739.53,76740.45,72837.18,50.55
68853.66,76740.45,72837.18,50.55
68779.21,76740.45,72837.18,50.55
68624.61,76740.45,72837.18,50.55
68345.75,76740.45,72837.18,50.55
68168.1,76740.45,72837.18,50.55
69011.29,76740.45,72837.18,50.55
71924.22,76740.45,72837.18,50.55
71287.39,76740.45,72837.18,50.55
71627.59,76740.45,72837.18,50.55
71675.12,76740.45,72837.18,50.55
71310.0,76740.45,72837.18,50.55
71318.48,76740.45,72837.18,50.55
71069.93,76740.45,72837.18,50.55
70992.39,76740.45,72837.18,50.55
70982.01,76740.45,72837.18,50.55
71150.17,76740.45,72837.18,50.55
72141.99,76740.45,72837.18,50.55
72096.32,76740.45,72837.18,50.55
71787.97,76740.45,72837.18,50.55
71868.67,76740.45,72837.18,50.55
71481.85,76740.45,72837.18,50.55
72127.59,76740.45,72837.18,50.55
72460.51,76740.45,72837.18,50.55
73236.11,76740.45,72837.18,50.55
72962.7,76740.45,72837.18,50.55
72866.63,76740.45,72837.18,50.55
72745.38,76740.45,72837.18,50.55
72907.05,76740.45,72837.18,50.55
72858.17,76740.45,72837.18,50.55
73687.15,76740.45,72837.18,50.55
73043.16,76740.45,72837.18,50.55
71593.19,76740.45,72837.18,50.55
71665.0,76740.45,72837.18,50.55
71468.55,76740.45,72837.18,50.55
70892.03,76740.45,72837.18,50.55
71084.18,76740.45,72837.18,50.55
70740.98,76740.45,72837.18,50.55
70976.0,76740.45,72837.18,50.55
70813.88,76740.45,72837.18,50.55
70929.68,76740.45,72837.18,50.55
71866.59,76740.45,72837.18,50.55
73322.82,76740.45,72837.18,50.55
74417.99,76740.45,72837.18,50.55
74444.43,76740.45,72837.18,50.55
74546.0,76740.45,72837.18,50.55
74376.52,76740.45,72837.18,50.55
75317.07,76740.45,72837.18,50.55
74223.18,76740.45,72837.18,50.55
74131.55,76740.45,72837.18,50.55
74345.97,76740.45,72837.18,50.55
73730.43,76740.45,72837.18,50.55
74201.78,76740.45,72837.18,50.55
73844.08,76740.45,72837.18,50.55
75002.6,76740.45,72837.18,50.55
74809.99,76740.45,72837.18,50.55
