timestamp,open,high,low,close,volume,datetime,ema_200,ema_50,rsi
1770887700000,1969.44,1971.59,1969.44,1971.0,13.44807415,2026-02-12 09:15:00,,,
1770888000000,1971.0,1972.53,1971.0,1972.53,31.53809282,2026-02-12 09:20:00,,,100.0
1770888300000,1972.56,1976.55,1972.43,1976.55,10.15451627,2026-02-12 09:25:00,,,100.0
1770888600000,1975.56,1981.0,1975.41,1981.0,62.40762742,2026-02-12 09:30:00,,,100.0
1770888900000,1979.5,1979.5,1976.98,1977.03,0.65186901,2026-02-12 09:35:00,,,86.17611893099941
1770889200000,1975.66,1975.86,1975.39,1975.86,0.19742607,2026-02-12 09:40:00,,,82.55411631156382
1770889500000,1976.64,1977.09,1974.42,1974.42,0.45907952,2026-02-12 09:45:00,,,78.19781642542883
1770889800000,1975.39,1979.7,1975.23,1979.7,1.36069147,2026-02-12 09:50:00,,,81.95736079299706
1770890100000,1979.7,1989.8,1979.21,1983.46,125.68508195,2026-02-12 09:55:00,,,84.0646983921208
1770890400000,1982.83,1987.52,1982.42,1987.27,0.87145645,2026-02-12 10:00:00,,,85.86612697999772
1770890700000,1985.25,1985.25,1983.49,1983.49,8.82769161,2026-02-12 10:05:00,,,76.61257764421917
1770891000000,1983.28,1983.28,1981.06,1981.06,0.06338463,2026-02-12 10:10:00,,,71.29350873438803
1770891300000,1981.32,1981.32,1979.81,1980.01,0.04165246,2026-02-12 10:15:00,,,69.06227965790976
1770891600000,1979.94,1980.23,1978.24,1978.24,0.20345085,2026-02-12 10:20:00,,,65.34945214733438
1770891900000,1978.46,1983.46,1978.46,1982.37,25.99164054,2026-02-12 10:25:00,,,69.47332139169926
1770892200000,1983.7,1987.47,1982.72,1985.1,23.17212933,2026-02-12 10:30:00,,,71.85758071230507
1770892500000,1984.06,1985.41,1984.03,1985.41,2.00968147,2026-02-12 10:35:00,,,72.12383140560632
1770892800000,1983.04,1983.64,1982.31,1982.32,2.77294668,2026-02-12 10:40:00,,,65.47443052143765
1770893100000,1982.35,1993.5,1982.23,1991.05,6.10991407,2026-02-12 10:45:00,,,73.03758490373542
1770893400000,1990.0,1994.11,1989.86,1993.21,0.33204435,2026-02-12 10:50:00,,,74.52457392437326
1770893700000,1994.16,1994.16,1992.57,1994.16,9.36261147,2026-02-12 10:55:00,,,75.17309790603679
1770894000000,1994.73,1994.73,1992.0,1994.4,0.45097101,2026-02-12 11:00:00,,,75.34386410783897
1770894300000,1994.29,1994.29,1990.43,1991.05,3.12154624,2026-02-12 11:05:00,,,68.28370168456705
1770894600000,1990.83,1990.83,1984.91,1987.13,20.95005732,2026-02-12 11:10:00,,,61.07204255156313
1770894900000,1988.56,1994.6,1988.56,1993.97,0.22088333,2026-02-12 11:15:00,,,67.51834901469695
1770895200000,1994.17,1996.9,1994.17,1996.89,0.76860475,2026-02-12 11:20:00,,,69.81626302171406
1770895500000,1996.23,2000.0,1996.23,1998.99,0.97935966,2026-02-12 11:25:00,,,71.38417978067272
1770895800000,1997.45,1999.25,1994.94,1996.37,3.62347375,2026-02-12 11:30:00,,,66.72704740503353
1770896100000,1995.82,1996.72,1995.11,1995.11,13.26478873,2026-02-12 11:35:00,,,64.54612253898628
1770896400000,1995.11,1995.11,1992.85,1993.3,1.10495552,2026-02-12 11:40:00,,,61.439563370688944
1770896700000,1993.3,1994.07,1993.3,1994.07,0.03161401,2026-02-12 11:45:00,,,62.27147300704369
1770897000000,1994.18,1994.19,1989.76,1991.16,0.22882781,2026-02-12 11:50:00,,,57.24504932220719
1770897300000,1991.95,1991.95,1989.14,1990.45,5.83795296,2026-02-12 11:55:00,,,56.05615486682359
1770897600000,1988.97,1989.05,1986.72,1986.72,0.10690703,2026-02-12 12:00:00,,,50.1620748663467
1770897900000,1984.41,1985.98,1983.42,1985.85,2.35601185,2026-02-12 12:05:00,,,48.871325431026385
1770898200000,1985.74,1985.75,1983.97,1985.2,1.42585237,2026-02-12 12:10:00,,,47.8800377184458
1770898500000,1986.24,1987.52,1984.45,1984.45,0.48591249,2026-02-12 12:15:00,,,46.702913831311996
1770898800000,1984.65,1985.86,1982.1,1982.1,1.64915289,2026-02-12 12:20:00,,,43.12531795488141
1770899100000,1982.3,1984.67,1982.3,1984.67,0.09454521,2026-02-12 12:25:00,,,47.83186654370431
1770899400000,1983.37,1983.37,1980.62,1980.82,6.45842688,2026-02-12 12:30:00,,,42.19821553039383
1770899700000,1980.82,1983.51,1980.82,1983.51,5.31770709,2026-02-12 12:35:00,,,46.90378718273194
1770900000000,1983.55,1984.79,1983.23,1984.19,1.97998062,2026-02-12 12:40:00,,,48.055001543046465
1770900300000,1982.41,1984.59,1982.41,1984.59,0.13312694,2026-02-12 12:45:00,,,48.75879903520275
1770900600000,1986.07,1986.07,1977.0,1977.0,2.47898668,2026-02-12 12:50:00,,,38.186292923374154
1770900900000,1977.12,1980.79,1975.18,1979.87,5.04164418,2026-02-12 12:55:00,,,43.20147608157252
1770901200000,1981.22,1981.22,1978.68,1978.84,5.45255433,2026-02-12 13:00:00,,,41.887972211469624
1770901500000,1978.88,1984.58,1976.12,1984.58,44.58764932,2026-02-12 13:05:00,,,50.85540067157272
1770901800000,1986.25,1986.25,1984.63,1985.1,9.48574605,2026-02-12 13:10:00,,,51.58429452760266
1770902100000,1984.92,1987.32,1984.18,1984.18,0.3326942,2026-02-12 13:15:00,,,50.1666328158112
1770902400000,1984.88,1986.5,1984.88,1986.02,1.67670986,2026-02-12 13:20:00,,1985.1163999999999,52.951567127026415
1770902700000,1984.6,1984.6,1978.26,1979.89,2.93913622,2026-02-12 13:25:00,,1984.911443137255,44.10779735095997
1770903000000,1982.81,1993.93,1982.81,1988.31,3.72866353,2026-02-12 13:30:00,,1985.0447198769705,55.18066930263889
1770903300000,1987.0,1988.32,1986.73,1986.73,19.66103224,2026-02-12 13:35:00,,1985.11080929356,53.05655549014936
1770903600000,1988.0,1992.32,1988.0,1992.0,28.76787715,2026-02-12 13:40:00,,1985.3809736349888,58.75896712797823
1770903900000,1991.0,1991.0,1988.0,1988.13,28.50313176,2026-02-12 13:45:00,,1985.4887785904796,53.60897951315958
1770904200000,1988.2,1989.88,1988.14,1989.71,0.28149398,2026-02-12 13:50:00,,1985.6543166849706,55.33035394561297
1770904500000,1990.45,1995.31,1990.45,1994.41,4.09792786,2026-02-12 13:55:00,,1985.9976768149718,60.07605449023401
1770904800000,1995.16,1995.16,1984.42,1984.42,1.47427521,2026-02-12 14:00:00,,1985.9358071359534,48.32423481283183
1770905100000,1983.06,1983.26,1983.06,1983.26,0.08875172,2026-02-12 14:05:00,,1985.8308735227788,47.17038230872542
1770905400000,1985.2,1988.4,1985.17,1985.17,14.85986347,2026-02-12 14:10:00,,1985.8049569140424,49.31630295719616
1770905700000,1984.14,1984.14,1982.24,1982.45,10.29775612,2026-02-12 14:15:00,,1985.6733899762369,46.42428092923123
1770906000000,1982.45,1985.86,1981.92,1983.4,5.86717988,2026-02-12 14:20:00,,1985.5842374281492,47.58050837484439
1770906300000,1983.33,1986.3,1983.33,1986.3,0.10294915,2026-02-12 14:25:00,,1985.612306548614,51.05314344865354
1770906600000,1985.38,1993.07,1982.97,1990.05,1.84666879,2026-02-12 14:30:00,,1985.786333742786,55.187286828560325
1770906900000,1990.05,1990.34,1980.68,1984.57,10.82239579,2026-02-12 14:35:00,,1985.7386343803237,48.71237304646122
1770907200000,1984.77,1987.34,1979.27,1979.27,10.05343506,2026-02-12 14:40:00,,1985.4849624438402,43.40788400144662
1770907500000,1979.73,1982.27,1974.78,1980.51,10.7277006,2026-02-12 14:45:00,,1985.2898658774152,44.91913134173615
1770907800000,1979.65,1984.6,1979.65,1984.6,0.55132954,2026-02-12 14:50:00,,1985.262812313595,49.69123209545703
1770908100000,1984.33,1984.33,1978.11,1978.11,10.24598712,2026-02-12 14:55:00,,1984.9823098699246,43.283076887882764
1770908400000,1978.98,1983.38,1968.34,1968.34,1.97317439,2026-02-12 15:00:00,,1984.3296702671826,35.79870835350413
1770908700000,1968.51,1968.51,1958.69,1958.88,26.95714997,2026-02-12 15:05:00,,1983.331643982195,30.329936613087142
1770909000000,1958.2,1965.55,1956.72,1965.47,5.551417,2026-02-12 15:10:00,,1982.631187355442,37.49346262898489
1770909300000,1967.76,1973.96,1966.43,1970.85,1.84378588,2026-02-12 15:15:00,,1982.1691800081699,42.67552096644226
1770909600000,1969.34,1978.63,1969.34,1975.8,19.2092692,2026-02-12 15:20:00,,1981.9194082431436,47.02701978373881
1770909900000,1973.93,1974.67,1971.46,1973.98,0.53414321,2026-02-12 15:25:00,,1981.6080589002754,45.65476198171379
1770910200000,1974.18,1976.14,1965.19,1965.19,0.49599133,2026-02-12 15:30:00,,1980.9642134532057,39.63872979584638
1770910500000,1964.99,1965.25,1956.04,1957.38,3.87543271,2026-02-12 15:35:00,,1980.0393423373937,35.20040962895524
1770910800000,1957.0,1957.84,1950.93,1955.76,311.5856213,2026-02-12 15:40:00,,1979.0872112653392,34.34146266092805
1770911100000,1955.29,1958.95,1954.26,1958.75,0.47290862,2026-02-12 15:45:00,,1978.2896735686593,37.3787189402298
1770911400000,1957.3,1957.3,1948.54,1948.54,10.14123662,2026-02-12 15:50:00,,1977.1230197032219,31.944623670483143
1770911700000,1946.06,1949.09,1941.79,1947.68,92.15975581,2026-02-12 15:55:00,,1975.968391479566,31.528839252116512
1770912000000,1949.09,1949.8,1943.5,1948.32,3.06928812,2026-02-12 16:00:00,,1974.8841408333087,32.235706009102614
1770912300000,1948.32,1949.05,1927.31,1931.51,22.58449607,2026-02-12 16:05:00,,1973.1831941339633,24.949984449129236
1770912600000,1931.45,1934.64,1920.0,1920.0,26.38684004,2026-02-12 16:10:00,,1971.0975786777294,21.385849192399085
1770912900000,1919.01,1931.13,1917.36,1927.0,16.45674291,2026-02-12 16:15:00,,1969.368261866838,28.111732308961457
1770913200000,1924.95,1927.49,1913.49,1916.23,23.88204391,2026-02-12 16:20:00,,1967.2844084602955,24.62142181158517
1770913500000,1915.51,1915.51,1904.65,1908.49,16.56037446,2026-02-12 16:25:00,,1964.978745383421,22.46291914543252
1770913800000,1909.01,1909.01,1898.11,1907.55,23.86844582,2026-02-12 16:30:00,,1962.7266377213261,22.208279540050434
1770914100000,1911.49,1921.69,1911.49,1916.61,162.65905666,2026-02-12 16:35:00,,1960.9181421244116,30.39795658918311
1770914400000,1919.24,1919.65,1915.65,1917.87,2.76083635,2026-02-12 16:40:00,,1959.2299796881603,31.478365468120565
1770914700000,1917.81,1917.81,1915.0,1915.0,0.04709046,2026-02-12 16:45:00,,1957.4954706807814,30.323730213587613
1770915000000,1917.94,1917.98,1898.67,1898.76,10.0134812,2026-02-12 16:50:00,,1955.1921188893782,24.78395582334569
1770915300000,1902.13,1907.95,1902.13,1907.26,6.95041511,2026-02-12 16:55:00,,1953.3124279525398,31.806141408637366
1770915600000,1908.68,1914.15,1908.52,1912.36,1.3602614,2026-02-12 17:00:00,,1951.7064503857737,35.68589360447634
1770915900000,1912.74,1916.94,1908.57,1916.1,0.3588249,2026-02-12 17:05:00,,1950.3101189980964,38.45132896946362
1770916200000,1913.16,1913.16,1905.52,1910.41,106.36282178,2026-02-12 17:10:00,,1948.7454084491517,35.92070579078535
1770916500000,1909.85,1912.0,1908.81,1908.81,0.16162581,2026-02-12 17:15:00,,1947.1793140001653,35.21879325674733
1770916800000,1908.99,1919.12,1908.99,1915.33,7.52875448,2026-02-12 17:20:00,,1945.9303212942764,40.33523862033459
1770917100000,1916.8,1920.08,1915.36,1915.36,3.65939139,2026-02-12 17:25:00,,1944.731485165089,40.358579951734654
1770917400000,1917.78,1919.9,1914.58,1919.9,5.95714102,2026-02-12 17:30:00,,1943.7577014331248,43.933222291781824
1770917700000,1916.0,1926.86,1916.0,1923.88,8.79266969,2026-02-12 17:35:00,,1942.9781837298651,46.93582543769027
1770918000000,1921.69,1924.72,1920.35,1920.35,6.89590771,2026-02-12 17:40:00,,1942.0908039757528,44.651766530667516
1770918300000,1918.64,1918.64,1915.51,1915.51,0.77233375,2026-02-12 17:45:00,,1941.0484195061154,41.658394422851124
1770918600000,1917.37,1917.37,1912.57,1912.57,14.05473643,2026-02-12 17:50:00,,1939.9316187411698,39.90825961198903
1770918900000,1912.51,1912.51,1908.91,1908.91,0.78788324,2026-02-12 17:55:00,,1938.7150846728887,37.78034900471254
1770919200000,1910.76,1917.82,1909.65,1917.55,0.87693823,2026-02-12 18:00:00,,1937.8850813523834,45.20760232268498
1770919500000,1915.47,1920.14,1915.47,1919.6,14.77194049,2026-02-12 18:05:00,,1937.1680193385644,46.82940128532597
1770919800000,1916.2,1916.2,1915.2,1915.2,1.95436888,2026-02-12 18:10:00,,1936.3065283841108,43.83066501997927
1770920100000,1916.42,1916.42,1904.13,1904.13,4.93763097,2026-02-12 18:15:00,,1935.0447037415968,37.3503773144521
1770920400000,1905.95,1911.7,1904.69,1910.52,1.06149251,2026-02-12 18:20:00,,1934.0829506536911,42.623726015175095
1770920700000,1906.99,1915.62,1906.99,1909.13,1.04538671,2026-02-12 18:25:00,,1933.1044035692325,41.79951596017218
1770921000000,1903.61,1908.61,1903.61,1908.61,4.24976674,2026-02-12 18:30:00,,1932.1438387233802,41.476398252188744
1770921300000,1911.22,1917.13,1911.22,1917.13,0.9124557,2026-02-12 18:35:00,,1931.5550607342282,48.50082251303402
1770921600000,1916.68,1916.87,1914.16,1915.67,15.59599102,2026-02-12 18:40:00,,1930.932117176023,47.44980000059439
1770921900000,1916.14,1923.59,1914.69,1921.72,0.68881616,2026-02-12 18:45:00,,1930.570857678924,52.08357094513718
1770922200000,1921.72,1921.72,1921.72,1921.72,0.0,2026-02-12 18:50:00,,1930.223765220927,52.083570945137176
1770922500000,1921.82,1922.28,1917.82,1918.01,8.71284588,2026-02-12 18:55:00,,1929.7447940357927,49.010069585050516
1770922800000,1919.21,1923.18,1918.31,1918.31,0.80389825,2026-02-12 19:00:00,,1929.2963707402714,49.27075879256664
1770923100000,1918.15,1919.04,1917.61,1917.61,10.76798928,2026-02-12 19:05:00,,1928.8380816916333,48.645808427090536
1770923400000,1915.34,1916.18,1912.58,1916.18,0.44118811,2026-02-12 19:10:00,,1928.3416863311772,47.32520783859851
1770923700000,1917.68,1923.97,1917.04,1923.56,3.99691306,2026-02-12 19:15:00,,1928.1541692201508,54.23084787021461
1770924000000,1923.97,1936.91,1923.97,1936.91,24.0965448,2026-02-12 19:20:00,,1928.497535133086,63.54200189582779
1770924300000,1935.95,1936.07,1930.83,1931.24,4.57985723,2026-02-12 19:25:00,,1928.605082774926,58.13274108714617
1770924600000,1934.13,1939.2,1934.13,1937.86,0.84177188,2026-02-12 19:30:00,,1928.9680207053211,62.18081815148488
1770924900000,1934.42,1938.55,1934.08,1935.1,23.91600828,2026-02-12 19:35:00,,1929.2084904815829,59.59373364509233
1770925200000,1934.78,1934.78,1932.38,1932.38,1.00793761,2026-02-12 19:40:00,,1929.3328634038737,57.07354229605925
1770925500000,1932.82,1935.81,1932.82,1935.69,0.94654404,2026-02-12 19:45:00,,1929.5821628782317,59.32765637760003
