timestamp,open,high,low,close,volume,datetime,ema_200,ema_50,rsi
1770887700000,81.29,81.29,81.12,81.25,69.14866611,2026-02-12 09:15:00,,,
1770888000000,81.27,81.27,81.21,81.21,12.1051,2026-02-12 09:20:00,,,0.0
1770888300000,81.25,81.73,81.24,81.71,150.55945005,2026-02-12 09:25:00,,,49.019607843133336
1770888600000,81.64,81.87,81.54,81.84,30.18890259,2026-02-12 09:30:00,,,55.17241379309998
1770888900000,81.75,81.75,81.56,81.56,27.65838853,2026-02-12 09:35:00,,,43.10537223019089
1770889200000,81.58,81.59,81.54,81.59,8.76493859,2026-02-12 09:40:00,,,44.50584281220274
1770889500000,81.64,81.66,81.5,81.5,15.430828,2026-02-12 09:45:00,,,41.22721116960398
1770889800000,81.56,81.63,81.56,81.58,11.40892764,2026-02-12 09:50:00,,,45.09880304850733
1770890100000,81.62,81.89,81.59,81.83,198.53350009,2026-02-12 09:55:00,,,55.06130525152742
1770890400000,81.8,81.98,81.75,81.79,74.18902226,2026-02-12 10:00:00,,,53.391881795211845
1770890700000,81.72,81.74,81.6,81.6,26.46572026,2026-02-12 10:05:00,,,46.22292838395921
1770891000000,81.61,81.62,81.53,81.53,84.32982248,2026-02-12 10:10:00,,,43.8850278458286
1770891300000,81.59,81.59,81.4,81.4,107.37889187,2026-02-12 10:15:00,,,39.85353899317143
1770891600000,81.44,81.45,81.38,81.38,409.02211704,2026-02-12 10:20:00,,,39.256053928985665
1770891900000,81.45,81.74,81.45,81.73,151.16892791,2026-02-12 10:25:00,,,52.63784746015115
1770892200000,81.7,81.89,81.66,81.77,65.24696142,2026-02-12 10:30:00,,,53.88810904110978
1770892500000,81.71,81.72,81.71,81.72,4.79923,2026-02-12 10:35:00,,,52.03887430099904
1770892800000,81.67,81.67,81.6,81.65,31.66336489,2026-02-12 10:40:00,,,49.4789210239359
1770893100000,81.62,81.94,81.59,81.94,24.06120732,2026-02-12 10:45:00,,,58.571515690458874
1770893400000,81.83,82.06,81.79,82.06,65.34535942,2026-02-12 10:50:00,,,61.64745219102291
1770893700000,82.09,82.21,82.02,82.21,72.68885758,2026-02-12 10:55:00,,,65.13239120291561
1770894000000,82.21,82.22,82.07,82.07,77.69769335,2026-02-12 11:00:00,,,59.681561663870234
1770894300000,82.06,82.06,81.93,81.93,17.55450933,2026-02-12 11:05:00,,,54.74739597984177
1770894600000,81.93,81.93,81.7,81.75,141.28512002,2026-02-12 11:10:00,,,49.12402603287812
1770894900000,81.75,81.89,81.72,81.72,77.26465549,2026-02-12 11:15:00,,,48.23476997337392
1770895200000,81.76,81.93,81.75,81.93,56.95433542,2026-02-12 11:20:00,,,54.450589097204634
1770895500000,81.93,82.15,81.93,82.14,11.58572382,2026-02-12 11:25:00,,,59.66629421406365
